anode TotalCurrent(zen_off_des) X,anode TotalCurrent(zen_off_des) Y
0,-2.950178e-18
0,4.7019998e-20
-0.055,-6.7410709e-14
-0.14666667,-1.0664536e-13
-0.28416667,-1.2522676e-13
-0.42166667,-1.4853626e-13
-0.55916667,-2.1511788e-13
-0.69666667,-3.2550301e-13
-0.83416667,-3.9100569e-13
-0.97166667,-4.3573958e-13
-1.1091667,-5.6491165e-13
-1.2466667,-1.097266e-12
-1.3841667,-3.142068e-12
-1.5216667,-9.979329e-12
-1.6591667,-3.0243588e-11
-1.7966667,-8.4322642e-11
-1.9341667,-2.1399253e-10
-2.0716667,-4.9310007e-10
-2.2,-9.9033409e-10
-2.3375,-1.9433376e-09
-2.475,-3.5978611e-09
-2.6125,-6.4068954e-09
-2.75,-1.1131027e-08
-2.8875,-1.905473e-08
-2.9333333,-2.2725507e-08
-3.0158333,-3.1100466e-08
-3.1533333,-5.1972965e-08
-3.2908333,-8.5812104e-08
-3.3,-8.8689195e-08
-3.4375,-1.4433531e-07
-3.575,-2.3073298e-07
-3.7125,-3.6072029e-07
-3.85,-5.5272509e-07
-3.9875,-8.3483818e-07
-4.125,-1.2478874e-06
-4.2625,-1.8516897e-06
-4.4,-2.7357062e-06
-4.5375,-4.0366787e-06
-4.675,-5.9697733e-06
-4.8125,-8.8848457e-06
-4.95,-1.3379587e-05
-5.0875,-2.0545467e-05
-5.225,-3.2505506e-05
-5.3625,-5.3786732e-05
-5.5,-9.7439784e-05

